registry,registry_lab,graph_lab,CI5_continent,ethnic_group,selection
12001,"Algeria, Sétif (2008-2011)","Algeria, Sétif",1,99,1
12003,"Algeria, Batna (2008-2012)","Algeria, Batna",1,99,1
404002,"Kenya, Nairobi (2008-2012)","Kenya, Nairobi",1,99,1
690000,Seychelles (2009-2012),Seychelles,1,99,1
710001,"South Africa, Eastern Cape (2008-2012)","South Africa, Eastern Cape",1,99,1
800002,"Uganda, Kyadondo County (2008-2012)","Uganda, Kyadondo County",1,99,1
716002,"Zimbabwe, Harare: African (2010-2012)","Zimbabwe, Harare: African",1,70,1
32011,"Argentina, Chaco (2008-2012)","Argentina, Chaco",2,99,1
32005,"Argentina, Entre Rios Province (2008-2011)","Argentina, Entre Rios Province",2,99,1
32006,"Argentina, Córdoba (2008-2012)","Argentina, Córdoba",2,99,1
32007,"Argentina, Mendoza (2008-2012)","Argentina, Mendoza",2,99,1
32008,"Argentina, Tierra del Fuego (2008-2012)","Argentina, Tierra del Fuego",2,99,1
76011,"Brazil, Aracaju (2008-2012)","Brazil, Aracaju",2,99,1
76012,"Brazil, Curitiba (2008-2011)","Brazil, Curitiba",2,99,1
76005,"Brazil, Florianopolis (2008-2010)","Brazil, Florianopolis",2,99,1
76002,"Brazil, Goiânia (2008-2012)","Brazil, Goiânia",2,99,1
76017,"Brazil, Jau (2008-2012)","Brazil, Jau",2,99,1
76020,"Brazil, Pocos de Caldas (2008-2011)","Brazil, Pocos de Caldas",2,99,1
152003,"Chile, Region of Antofagasta (2008-2010)","Chile, Region of Antofagasta",2,99,1
152002,"Chile, Bío Bío Province (2008-2012)","Chile, Bío Bío Province",2,99,1
152005,"Chile, Concepcion (2008-2010)","Chile, Concepcion",2,99,1
152001,"Chile, Valdivia (2008-2012)","Chile, Valdivia",2,99,1
170001,"Colombia, Cali (2008-2012)","Colombia, Cali",2,99,1
170002,"Colombia, Bucaramanga (2008-2012)","Colombia, Bucaramanga",2,99,1
